Saved Date,Job Url,Job Title,Company Name
"10/9/22, 10:28 PM",http://www.linkedin.com/jobs/view/3301843364,People Analytics- Specialist,Quantiphi
"8/1/22, 5:07 AM",http://www.linkedin.com/jobs/view/3160860460,Analyst-Data Visualization,Accenture in India
"10/26/22, 1:57 PM",http://www.linkedin.com/jobs/view/3016516443,Analyst – SQL Database Testing and Development,ISS | Institutional Shareholder Services
"9/18/20, 1:12 PM",http://www.linkedin.com/jobs/view/2015337880,Software Engineering - .Net,JPMorgan Chase & Co.
"10/9/22, 10:29 PM",http://www.linkedin.com/jobs/view/3301846115,People Analytics- Sr. Specialist,Quantiphi
