Name,Url,Authority,Started On,Finished On,License Number
Python for Everybody Specialization,https://www.coursera.org/account/accomplishments/specialization/certificate/JADKRRPANFX6,Coursera,Jul 2020,,JADKRRPANFX6
Data Analysis Using Excel,https://olympus1.mygreatlearning.com/course_certificate/QSUAHPYU,Great Learning,Sep 2022,,
SQL (Basic) Certificate,https://www.hackerrank.com/certificates/49d0a255b313,HackerRank,Oct 2022,,49D0A255B313
Python (Basic) Certificate,https://www.hackerrank.com/certificates/debf610ad99f,HackerRank,Sep 2020,,debf610ad99f
